Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0034368~protein-lipid complex remodeling	5	11.363636363636363	2.93049936121742E-7	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	24	16650	84.60365853658536	4.614472174482298E-4	4.1958548531728646E-5	4.897852283858306E-4
GOTERM_BP_FAT	GO:0034367~macromolecular complex remodeling	5	11.363636363636363	2.93049936121742E-7	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	24	16650	84.60365853658536	4.614472174482298E-4	4.1958548531728646E-5	4.897852283858306E-4
GOTERM_BP_FAT	GO:0006639~acylglycerol metabolic process	7	15.909090909090908	3.515160854016614E-7	205892_S_AT, 205216_S_AT, 205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 205108_S_AT, 223579_S_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT	41	118	16650	24.09053327821414	5.534847025330247E-4	4.6135430039395686E-5	5.87501602467011E-4
GOTERM_BP_FAT	GO:0006638~neutral lipid metabolic process	7	15.909090909090908	3.6953139306031613E-7	205892_S_AT, 205216_S_AT, 205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 205108_S_AT, 223579_S_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT	41	119	16650	23.888091822094694	5.818427154143935E-4	4.476915564488593E-5	6.176111532085748E-4
GOTERM_BP_FAT	GO:0055088~lipid homeostasis	7	15.909090909090908	4.7137219649723956E-7	230914_AT, 205675_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 206130_S_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	124	16650	22.92486231313926	7.4213586531513E-4	5.302797857131836E-5	7.878207329947706E-4
GOTERM_BP_FAT	GO:0042632~cholesterol homeostasis	6	13.636363636363635	5.763088528034402E-7	230914_AT, 205675_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	68	16650	35.832137733142034	9.07274881671527E-4	6.0510616134656914E-5	9.632042192064816E-4
GOTERM_BP_FAT	GO:0055092~sterol homeostasis	6	13.636363636363635	5.763088528034402E-7	230914_AT, 205675_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	68	16650	35.832137733142034	9.07274881671527E-4	6.0510616134656914E-5	9.632042192064816E-4
GOTERM_BP_FAT	GO:0045861~negative regulation of proteolysis	9	20.454545454545457	7.152863821772859E-7	220626_AT, 205892_S_AT, 205506_AT, 230318_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT, 228912_AT, 243243_AT, 206651_S_AT, 209220_AT	41	317	16650	11.529583750096176	0.00112594210574124	7.040854962414578E-5	0.0011954806969027842
GOTERM_BP_FAT	GO:0034381~plasma lipoprotein particle clearance	5	11.363636363636363	9.780889625691646E-7	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	32	16650	63.452743902439025	0.0015393049224623478	9.061300436219444E-5	0.0016347075654898902
GOTERM_BP_FAT	GO:0010466~negative regulation of peptidase activity	8	18.181818181818183	1.7834878004011577E-6	205892_S_AT, 220626_AT, 205506_AT, 228912_AT, 230318_AT, 243243_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT, 209220_AT	41	247	16650	13.15295744050558	0.0028050542533801792	1.560431457019451E-4	0.0029807744115317725
GOTERM_BP_FAT	GO:0033344~cholesterol efflux	5	11.363636363636363	2.2102392102687802E-6	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	39	16650	52.06378986866792	0.0034750784929491463	1.8320061689203193E-4	0.00369399913505708
GOTERM_BP_FAT	GO:0009611~response to wounding	11	25.0	2.2195211087923265E-6	220626_AT, 205506_AT, 205216_S_AT, 230318_AT, 205476_AT, 204450_X_AT, 206054_AT, 207300_S_AT, 205649_S_AT, 230914_AT, 228912_AT, 206651_S_AT, 217073_X_AT, 205650_S_AT	41	649	16650	6.883009508061183	0.0034896466066853815	1.747722068479174E-4	0.003709511812088895
GOTERM_BP_FAT	GO:0034375~high-density lipoprotein particle remodeling	4	9.090909090909092	5.7287974621023855E-6	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	15	16650	108.29268292682927	0.008982297802914374	4.2956874929123146E-4	0.009574342799978375
GOTERM_BP_FAT	GO:0051336~regulation of hydrolase activity	14	31.818181818181817	8.372234122674718E-6	205892_S_AT, 220626_AT, 205506_AT, 205216_S_AT, 230318_AT, 204416_X_AT, 204450_X_AT, 205476_AT, 219465_AT, 210929_S_AT, 244276_AT, 206054_AT, 231693_AT, 213553_X_AT, 204987_AT, 219466_S_AT, 204551_S_AT, 228912_AT, 243243_AT, 217073_X_AT, 209220_AT	41	1337	16650	4.252330481419998	0.013099765254518947	5.991987697064882E-4	0.013991937273372113
GOTERM_BP_FAT	GO:0061041~regulation of wound healing	6	13.636363636363635	1.316587010920722E-5	205506_AT, 205216_S_AT, 228912_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	128	16650	19.035823170731707	0.020522861587486285	9.011755202057437E-4	0.022002381720132025
GOTERM_BP_FAT	GO:0007596~blood coagulation	8	18.181818181818183	1.5095496188504955E-5	220626_AT, 205216_S_AT, 230914_AT, 230318_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	342	16650	9.499358151476253	0.023495173425964855	9.901588834249075E-4	0.02522672876562604
GOTERM_BP_FAT	GO:0042157~lipoprotein metabolic process	6	13.636363636363635	1.829905076648633E-5	205675_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	137	16650	17.78529464126758	0.028409897449099164	0.0011521864692290995	0.03057955606714513
GOTERM_BP_FAT	GO:0010951~negative regulation of endopeptidase activity	7	15.909090909090908	1.9051874740928774E-5	205892_S_AT, 220626_AT, 205506_AT, 228912_AT, 230318_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT	41	235	16650	12.096523092890504	0.029561248447134814	0.0011534492101977767	0.031837412415303135
GOTERM_BP_FAT	GO:0007599~hemostasis	8	18.181818181818183	2.027158406913977E-5	220626_AT, 205216_S_AT, 230914_AT, 230318_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	358	16650	9.074805831857201	0.03142374930936931	0.0011818221540195184	0.03387533282748212
GOTERM_BP_FAT	GO:0050817~coagulation	8	18.181818181818183	2.027158406913977E-5	220626_AT, 205216_S_AT, 230914_AT, 230318_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	358	16650	9.074805831857201	0.03142374930936931	0.0011818221540195184	0.03387533282748212
GOTERM_BP_FAT	GO:0043086~negative regulation of catalytic activity	11	25.0	2.132633081624956E-5	205892_S_AT, 220626_AT, 205506_AT, 230318_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 213553_X_AT, 219466_S_AT, 204551_S_AT, 228912_AT, 243243_AT, 217073_X_AT, 209220_AT	41	839	16650	5.324282682636123	0.03303147115705951	0.0011988996450778	0.03563759820049972
GOTERM_BP_FAT	GO:1903034~regulation of response to wounding	6	13.636363636363635	2.5703920379462664E-5	205506_AT, 205216_S_AT, 228912_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	147	16650	16.575410652065703	0.03967565758739622	0.0013950327566208953	0.0429513398844894
GOTERM_BP_FAT	GO:0030301~cholesterol transport	5	11.363636363636363	2.7577808113026512E-5	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	73	16650	27.8149014366856	0.04250582999234842	0.0014468072541352628	0.04608193435572394
GOTERM_BP_FAT	GO:0072378~blood coagulation, fibrin clot formation	4	9.090909090909092	2.8480129113393542E-5	205216_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	25	16650	64.97560975609757	0.04386564979835483	0.0014459485147654272	0.04758935631553607
GOTERM_BP_FAT	GO:0046486~glycerolipid metabolic process	8	18.181818181818183	2.9217061400787796E-5	205892_S_AT, 205216_S_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 244276_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 205675_AT, 205108_S_AT, 223579_S_AT, 217073_X_AT	41	379	16650	8.571980178904692	0.04497479287860806	0.0014370147527771326	0.04882046321117439
GOTERM_BP_FAT	GO:0015918~sterol transport	5	11.363636363636363	3.068984667917649E-5	204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	75	16650	27.073170731707318	0.04718760333762617	0.0014636929143474475	0.05128083123139282
GOTERM_BP_FAT	GO:0042060~wound healing	9	20.454545454545457	3.670917953542655E-5	220626_AT, 205216_S_AT, 230914_AT, 230318_AT, 205476_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	542	16650	6.743317433174332	0.056178310576524004	0.0016990848887744603	0.061335862694222865
GOTERM_BP_FAT	GO:0052547~regulation of peptidase activity	8	18.181818181818183	3.8648933408977836E-5	205892_S_AT, 220626_AT, 205506_AT, 228912_AT, 230318_AT, 243243_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT, 209220_AT	41	396	16650	8.2039911308204	0.05905749999885235	0.0017377240196285726	0.06457593381785642
GOTERM_BP_FAT	GO:0044092~negative regulation of molecular function	12	27.27272727272727	3.8811305020689375E-5	205892_S_AT, 220626_AT, 205506_AT, 229292_AT, 230318_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 213553_X_AT, 219466_S_AT, 204551_S_AT, 228912_AT, 243243_AT, 217073_X_AT, 209220_AT	41	1100	16650	4.430155210643015	0.05929811075174263	0.001696586713067716	0.06484714703126615
GOTERM_BP_FAT	GO:0006629~lipid metabolic process	13	29.545454545454547	4.355835816417327E-5	205892_S_AT, 224411_AT, 205216_S_AT, 204416_X_AT, 204450_X_AT, 214910_S_AT, 219465_AT, 244276_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 204694_AT, 205682_X_AT, 231009_AT, 230914_AT, 205675_AT, 243243_AT, 205108_S_AT, 223579_S_AT, 217073_X_AT, 209220_AT	41	1330	16650	3.969374656152577	0.06630543113737808	0.001852495745544469	0.07277595837330564
GOTERM_BP_FAT	GO:1900046~regulation of hemostasis	5	11.363636363636363	4.796741015990531E-5	205216_S_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	84	16650	24.17247386759582	0.07276708014410094	0.0019861955031650336	0.0801396902694762
GOTERM_BP_FAT	GO:0030193~regulation of blood coagulation	5	11.363636363636363	4.796741015990531E-5	205216_S_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	84	16650	24.17247386759582	0.07276708014410094	0.0019861955031650336	0.0801396902694762
GOTERM_BP_FAT	GO:0045055~regulated exocytosis	7	15.909090909090908	5.950868731554744E-5	214064_AT, 205216_S_AT, 230318_AT, 203400_S_AT, 204450_X_AT, 210929_S_AT, 205649_S_AT, 206054_AT, 214063_S_AT, 217073_X_AT, 205650_S_AT, 204551_S_AT	41	288	16650	9.870426829268293	0.08947049165467003	0.0024004213287898146	0.09941281762760878
GOTERM_BP_FAT	GO:0050818~regulation of coagulation	5	11.363636363636363	6.0176585233866516E-5	205216_S_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	89	16650	22.814469717730884	0.09042786700991023	0.0023667192324686726	0.10052805354668903
GOTERM_BP_FAT	GO:0001523~retinoid metabolic process	5	11.363636363636363	6.0176585233866516E-5	204450_X_AT, 243243_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 219466_S_AT, 217073_X_AT, 209220_AT, 205682_X_AT	41	89	16650	22.814469717730884	0.09042786700991023	0.0023667192324686726	0.10052805354668903
GOTERM_BP_FAT	GO:0050892~intestinal absorption	4	9.090909090909092	6.666555328792845E-5	205892_S_AT, 205506_AT, 228912_AT, 204450_X_AT, 219465_AT, 231693_AT, 219466_S_AT, 217073_X_AT	41	33	16650	49.22394678492239	0.09967704979956626	0.0025577415971378414	0.11136252858504614
GOTERM_BP_FAT	GO:0016101~diterpenoid metabolic process	5	11.363636363636363	8.0889024698808E-5	204450_X_AT, 243243_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 219466_S_AT, 217073_X_AT, 209220_AT, 205682_X_AT	41	96	16650	21.15091463414634	0.11962327525696193	0.0030288648202830837	0.1351072546617038
GOTERM_BP_FAT	GO:0015850~organic hydroxy compound transport	6	13.636363636363635	9.872700690619592E-5	230830_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	195	16650	12.4953095684803	0.14401524464370696	0.0036098110533153704	0.16487856020849234
GOTERM_BP_FAT	GO:0046464~acylglycerol catabolic process	4	9.090909090909092	1.105573300846402E-4	205892_S_AT, 204450_X_AT, 219465_AT, 205108_S_AT, 223579_S_AT, 231693_AT, 219466_S_AT, 217073_X_AT	41	39	16650	41.651031894934334	0.1598185689693815	0.0039498474131376415	0.18461857709403118
GOTERM_BP_FAT	GO:0046461~neutral lipid catabolic process	4	9.090909090909092	1.105573300846402E-4	205892_S_AT, 204450_X_AT, 219465_AT, 205108_S_AT, 223579_S_AT, 231693_AT, 219466_S_AT, 217073_X_AT	41	39	16650	41.651031894934334	0.1598185689693815	0.0039498474131376415	0.18461857709403118
GOTERM_BP_FAT	GO:0051246~regulation of protein metabolic process	17	38.63636363636363	1.1563243328920971E-4	205892_S_AT, 220626_AT, 205506_AT, 230318_AT, 204450_X_AT, 205476_AT, 219465_AT, 210929_S_AT, 244276_AT, 205649_S_AT, 206054_AT, 231693_AT, 204987_AT, 219466_S_AT, 204551_S_AT, 230830_AT, 228912_AT, 211154_AT, 211155_S_AT, 243243_AT, 231310_AT, 206651_S_AT, 217073_X_AT, 205650_S_AT, 209220_AT	41	2512	16650	2.7482717104241106	0.16650836496641652	0.00403918961354488	0.19308574357923547
GOTERM_BP_FAT	GO:0006721~terpenoid metabolic process	5	11.363636363636363	1.1889039744457155E-4	204450_X_AT, 243243_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 219466_S_AT, 217073_X_AT, 209220_AT, 205682_X_AT	41	106	16650	19.155545329038198	0.1707747999735264	0.004062670761484144	0.19852088796804557
GOTERM_BP_FAT	GO:0010033~response to organic substance	18	40.909090909090914	1.2762138276006563E-4	205506_AT, 229292_AT, 204450_X_AT, 205476_AT, 214261_S_AT, 214910_S_AT, 219465_AT, 210929_S_AT, 244276_AT, 207300_S_AT, 219466_S_AT, 205682_X_AT, 204551_S_AT, 230914_AT, 228912_AT, 211154_AT, 211155_S_AT, 243243_AT, 231310_AT, 206256_AT, 205108_S_AT, 206651_S_AT, 223579_S_AT, 217073_X_AT, 204351_AT, 209220_AT	41	2822	16650	2.5902750168536413	0.18210106807923554	0.00426781380527419	0.2130851045782034
GOTERM_BP_FAT	GO:0044255~cellular lipid metabolic process	11	25.0	1.3425726675979967E-4	205892_S_AT, 224411_AT, 205216_S_AT, 204416_X_AT, 204450_X_AT, 214910_S_AT, 219465_AT, 244276_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 205682_X_AT, 231009_AT, 205675_AT, 243243_AT, 205108_S_AT, 223579_S_AT, 217073_X_AT, 209220_AT	41	1043	16650	4.28290812150691	0.19060594467728031	0.004395921841018446	0.22415313175508933
GOTERM_BP_FAT	GO:0016192~vesicle-mediated transport	13	29.545454545454547	1.3471165398073863E-4	214064_AT, 205216_S_AT, 230318_AT, 204416_X_AT, 203400_S_AT, 204450_X_AT, 210929_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 214063_S_AT, 213553_X_AT, 206743_S_AT, 204551_S_AT, 243243_AT, 205108_S_AT, 223579_S_AT, 206130_S_AT, 217073_X_AT, 205650_S_AT, 209220_AT	41	1494	16650	3.533646782250955	0.1911850661552471	0.004320946857627739	0.2249109644603231
GOTERM_BP_FAT	GO:0051248~negative regulation of protein metabolic process	11	25.0	1.4076838428173612E-4	205892_S_AT, 220626_AT, 205506_AT, 230318_AT, 210929_S_AT, 206054_AT, 205649_S_AT, 231693_AT, 204987_AT, 204551_S_AT, 228912_AT, 243243_AT, 231310_AT, 206651_S_AT, 205650_S_AT, 209220_AT	41	1049	16650	4.258411030249483	0.1988650038558727	0.0044246982829156956	0.23501193840445023
GOTERM_BP_FAT	GO:0050878~regulation of body fluid levels	8	18.181818181818183	1.7285144434763723E-4	220626_AT, 205216_S_AT, 230914_AT, 230318_AT, 206651_S_AT, 205649_S_AT, 207300_S_AT, 206054_AT, 205650_S_AT	41	503	16650	6.458808126848664	0.23834726550931862	0.00532429613184493	0.28850169812619786
GOTERM_BP_FAT	GO:1900047~negative regulation of hemostasis	4	9.090909090909092	1.8151039153056994E-4	205216_S_AT, 206651_S_AT, 205649_S_AT, 206054_AT, 205650_S_AT	41	46	16650	35.31283138918346	0.2486658715621869	0.005483082244697957	0.3029335116710108
GOTERM_BP_FAT	GO:0030195~negative regulation of blood coagulation	4	9.090909090909092	1.8151039153056994E-4	205216_S_AT, 206651_S_AT, 205649_S_AT, 206054_AT, 205650_S_AT	41	46	16650	35.31283138918346	0.2486658715621869	0.005483082244697957	0.3029335116710108
GOTERM_BP_FAT	GO:0034380~high-density lipoprotein particle assembly	3	6.8181818181818175	2.0044588016785434E-4	204450_X_AT, 219465_AT, 214910_S_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	9	16650	135.36585365853657	0.27074652574824676	0.005939534319671758	0.33448633048805965
GOTERM_BP_FAT	GO:0034384~high-density lipoprotein particle clearance	3	6.8181818181818175	2.0044588016785434E-4	204450_X_AT, 219465_AT, 214910_S_AT, 219466_S_AT, 217073_X_AT, 205682_X_AT	41	9	16650	135.36585365853657	0.27074652574824676	0.005939534319671758	0.33448633048805965
GOTERM_BP_FAT	GO:0010873~positive regulation of cholesterol esterification	3	6.8181818181818175	2.0044588016785434E-4	204416_X_AT, 204450_X_AT, 219465_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT	41	9	16650	135.36585365853657	0.27074652574824676	0.005939534319671758	0.33448633048805965
GOTERM_BP_FAT	GO:0032268~regulation of cellular protein metabolic process	16	36.36363636363637	2.0161565820344516E-4	205892_S_AT, 220626_AT, 205506_AT, 230318_AT, 204450_X_AT, 205476_AT, 210929_S_AT, 244276_AT, 205649_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT, 230830_AT, 228912_AT, 211154_AT, 211155_S_AT, 243243_AT, 231310_AT, 206651_S_AT, 217073_X_AT, 205650_S_AT, 209220_AT	41	2346	16650	2.769633834445761	0.272089135359013	0.005863790052596074	0.3364352616192279
GOTERM_BP_FAT	GO:0046903~secretion	11	25.0	2.0474481579705952E-4	214064_AT, 224411_AT, 205216_S_AT, 230318_AT, 204450_X_AT, 203400_S_AT, 219465_AT, 210929_S_AT, 205649_S_AT, 206054_AT, 214063_S_AT, 219466_S_AT, 204551_S_AT, 231009_AT, 230914_AT, 206651_S_AT, 217073_X_AT, 205650_S_AT	41	1098	16650	4.068372650939624	0.2756684878842406	0.005846589091539456	0.34164847852481417
GOTERM_BP_FAT	GO:0050819~negative regulation of coagulation	4	9.090909090909092	2.328069310832477E-4	205216_S_AT, 206651_S_AT, 205649_S_AT, 206054_AT, 205650_S_AT	41	50	16650	32.487804878048784	0.3069919092158231	0.006527062808992956	0.38838886679072315
GOTERM_BP_FAT	GO:0046503~glycerolipid catabolic process	4	9.090909090909092	2.328069310832477E-4	205892_S_AT, 204450_X_AT, 219465_AT, 205108_S_AT, 223579_S_AT, 231693_AT, 219466_S_AT, 217073_X_AT	41	50	16650	32.487804878048784	0.3069919092158231	0.006527062808992956	0.38838886679072315
GOTERM_BP_FAT	GO:0030162~regulation of proteolysis	9	20.454545454545457	2.3589356706101933E-4	220626_AT, 205892_S_AT, 205506_AT, 230318_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT, 228912_AT, 243243_AT, 206651_S_AT, 209220_AT	41	708	16650	5.1622571310458865	0.3103535445166382	0.006497678826005049	0.3935287235322771
GOTERM_BP_FAT	GO:0052548~regulation of endopeptidase activity	7	15.909090909090908	2.4123782082230725E-4	205892_S_AT, 220626_AT, 205506_AT, 228912_AT, 230318_AT, 210929_S_AT, 206054_AT, 231693_AT, 204987_AT, 204551_S_AT	41	372	16650	7.64162077104642	0.31613544793790294	0.006530229669601928	0.40242736887227126
GOTERM_BP_FAT	GO:0006720~isoprenoid metabolic process	5	11.363636363636363	2.4579663196314745E-4	204450_X_AT, 243243_AT, 219465_AT, 214910_S_AT, 205108_S_AT, 223579_S_AT, 219466_S_AT, 217073_X_AT, 209220_AT, 205682_X_AT	41	128	16650	15.863185975609756	0.32102928416577137	0.006540841748506554	0.4100175935007555
GOTERM_BP_FAT	GO:0050994~regulation of lipid catabolic process	4	9.090909090909092	2.926661119673362E-4	205892_S_AT, 204416_X_AT, 204450_X_AT, 219465_AT, 231693_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT	41	54	16650	30.081300813008134	0.36935778605611624	0.007654166388840977	0.4880217325017311
GOTERM_BP_FAT	GO:0010872~regulation of cholesterol esterification	3	6.8181818181818175	3.0530648444126557E-4	204416_X_AT, 204450_X_AT, 219465_AT, 213553_X_AT, 219466_S_AT, 217073_X_AT	41	11	16650	110.75388026607537	0.38179250931412434	0.007853118792998104	0.5090490688960614
